	target_id	test_stat	pval	qval	rss	sigma_sq	tech_var	mean_obs	var_obs	sigma_sq_pmax	smooth_sigma_sq	final_sigma_sq	degrees_free
8624	ENSRNOG00000010575	2.49773772184581	0.114009965303319	0.18681294291526	0.0501932584754149	-0.00633702602056892	0.0163756777156519	4.04770749672637	0.010038651695083	0	0.0609039970345136	0.0609039970345136	1
8625	ENSRNOG00000008196	2.49755081475613	0.114023498923627	0.186813456613307	0.0921028007072691	0.0145298111492183	0.00389074899223556	5.47059041770859	0.0184205601414539	0.0145298111492183	0.0272524595401301	0.0272524595401301	1
8626	ENSRNOG00000000190	2.49700259297023	0.114063204936581	0.18683762305284	0.156242422639085	0.0233799469139754	0.00786853761384159	4.93458301104117	0.0312484845278172	0.0233799469139754	0.0352718324316222	0.0352718324316222	1
8627	ENSRNOG00000011440	2.49698205398051	0.114064692808496	0.18683762305284	0.0720469496856685	0.00377595691469789	0.0106334330224358	4.59291517026753	0.0144093899371338	0.00377595691469789	0.0429796833058704	0.0429796833058704	1
8628	ENSRNOG00000005334	2.49679585977129	0.11407818194265	0.186838060852062	0.0348280381342023	0.00289411587567422	0.00407149175116625	5.5262337153047	0.00696560762684047	0.00289411587567422	0.026649349047479	0.026649349047479	1
8629	ENSRNOG00000014564	2.49645903903597	0.114102587922803	0.186856376166083	0.054060844244039	0.00947869409252175	0.00133347475628604	6.74587178431111	0.0108121688488078	0.00947869409252175	0.0253456214256892	0.0253456214256892	1
8630	ENSRNOG00000011655	2.4957040836846	0.114157312791633	0.186924332219996	0.0541370332895434	0.00809595325122472	0.00273145340668396	5.85646020812158	0.0108274066579086	0.00809595325122472	0.0241936041212613	0.0241936041212613	1
8631	ENSRNOG00000047756	2.49430886782856	0.114258524761651	0.187068382969168	0.0449129343867603	0.00580958087810286	0.00317300599924921	5.48060998331555	0.00898258687735198	0.00580958087810286	0.0271410496597058	0.0271410496597058	1
8632	ENSRNOG00000032136	2.49316948542498	0.114341251421808	0.187182138999255	0.0888418713079844	-0.00134227657282313	0.01911065083442	4.12083190027749	0.017768374261597	0	0.05826850373702	0.05826850373702	1
8633	ENSRNOG00000009815	2.4927479309126	0.114371875791736	0.187188901646169	0.558281395929394	0.0600679708409829	0.0515883083448958	3.23237175995573	0.111656279185879	0.0600679708409829	0.0973232193908139	0.0973232193908139	1
8634	ENSRNOG00000024922	2.49289409214843	0.114361256696412	0.187188901646169	2.85886738608941	0.360611293825523	0.21116218339236	1.913336639934	0.571773477217883	0.360611293825523	0.264320760677411	0.360611293825523	1
8635	ENSRNOG00000025040	2.49053358666066	0.114532888303961	0.187409013967494	0.230870599953573	0.0444704355188924	0.00170368447182214	6.33385406215154	0.0461741199907142	0.0444704355188924	0.0235212944189963	0.0444704355188924	1
8636	ENSRNOG00000015294	2.49063113259294	0.114525790145539	0.187409013967494	0.0803436475059163	0.00124512527860864	0.0148236042225746	4.25060215766867	0.0160687295011832	0.00124512527860864	0.0536723879168127	0.0536723879168127	1
8637	ENSRNOG00000007632	2.49008977446198	0.114565189465497	0.187440163521701	0.214769760924136	0.0195361992540123	0.0234177529308149	3.77706932441267	0.0429539521848274	0.0195361992540123	0.0710821516055829	0.0710821516055829	1
8638	ENSRNOG00000026403	2.48972299297606	0.114591891826437	0.187462146723707	0.219569192364067	0.0151037692241586	0.0288100692486548	4.34935483153773	0.0439138384728134	0.0151037692241586	0.050324965302693	0.050324965302693	1
8639	ENSRNOG00000010352	2.48822501403646	0.11470101871649	0.187618948429532	0.274055349664606	0.0544295223116121	0.000381547621309096	7.85753240573163	0.0548110699329214	0.0544295223116121	0.0370360234567586	0.0544295223116121	1
8640	ENSRNOG00000002882	2.48723297682163	0.114773351140388	0.187629916418065	0.0595910860333199	0.00943999486861886	0.00247822233804511	5.97370586580668	0.011918217206664	0.00943999486861886	0.0237613975209149	0.0237613975209149	1
8641	ENSRNOG00000012349	2.48687174261553	0.114799702310998	0.187629916418065	0.0512115114294715	-9.668850483837e-06	0.0102519711363781	4.59298419371865	0.0102423022858945	0	0.0429778248454462	0.0429778248454462	1
8642	ENSRNOG00000014857	2.48767878871629	0.114740839428013	0.187629916418065	0.0573374085103638	-0.00263911305219289	0.0141065947542656	4.44872196425734	0.0114674817020728	0	0.0471505582765426	0.0471505582765426	1
8643	ENSRNOG00000016036	2.48746940184553	0.114756108113472	0.187629916418065	0.0553823095928708	0.00203617325330891	0.00904028866526526	4.80061983374433	0.0110764619185744	0.00203617325330891	0.038034324297538	0.038034324297538	1
8644	ENSRNOG00000028717	2.48690726859176	0.114797110480194	0.187629916418065	0.0526253602136332	0.00874992803087092	0.00177514401185571	6.39593109545303	0.0105250720427267	0.00874992803087092	0.0236582445743225	0.0236582445743225	1
8645	ENSRNOG00000047076	2.48758512008831	0.114747669554492	0.187629916418065	7.48302668173271	1.38022764544859	0.116377690897955	2.77828542101405	1.49660533634654	1.38022764544859	0.132748652785867	1.38022764544859	1
8646	ENSRNOG00000045740	2.48685848892852	0.114800669262656	0.187629916418065	0.0682752446785346	0.00669226098639866	0.00696278794930825	5.05250562981582	0.0136550489357068	0.00669226098639866	0.0330508756514344	0.0330508756514344	1
8647	ENSRNOG00000045670	2.4866110021414	0.11481872685165	0.187637727436182	0.067278434055143	0.00416736991267826	0.00928831689835035	4.68158739379782	0.0134556868110286	0.00416736991267826	0.040709957829857	0.040709957829857	1
8648	ENSRNOG00000002251	2.48506952751063	0.114931269338608	0.18771624710446	0.0551671009249093	0.0100997842577254	0.000933635927256432	7.08566321509762	0.0110334201849817	0.0100997842577254	0.0282529151404089	0.0282529151404089	1
8649	ENSRNOG00000003714	2.48504317488602	0.114933194391607	0.18771624710446	0.158240407908178	0.0299168562377016	0.00173122534393403	6.26625694101243	0.0316480815816357	0.0299168562377016	0.0234335372874564	0.0299168562377016	1
8650	ENSRNOG00000008191	2.48566808012745	0.114887554789476	0.18771624710446	0.482479494113635	-0.000416253219767335	0.0969121520424943	2.45146285396644	0.0964958988227272	0	0.170251933771769	0.170251933771769	1
8651	ENSRNOG00000025716	2.48512109043409	0.114927502782131	0.18771624710446	0.053377984996397	-0.000107025403583257	0.0107826224028627	4.61446552794491	0.0106755969992794	0	0.0424062446933939	0.0424062446933939	1
8652	ENSRNOG00000010795	2.48507756738739	0.114930682034592	0.18771624710446	0.041036240321943	0.00298649791814462	0.00522075014624398	5.32405815266047	0.00820724806438859	0.00298649791814462	0.0289815855263919	0.0289815855263919	1
8653	ENSRNOG00000038055	2.48483781411783	0.114948197165962	0.187719053987313	1.56785075109152	0.109501714159609	0.204068436058694	2.08776623367422	0.313570150218303	0.109501714159609	0.228453297136374	0.228453297136374	1
8654	ENSRNOG00000042607	2.48339096918613	0.115053958688192	0.187870058958036	2.79602041828306	0.554008651272869	0.00519543238374269	5.485073590931	0.559204083656612	0.554008651272869	0.0270917926113781	0.554008651272869	1
8655	ENSRNOG00000017511	2.48297334935987	0.115084505840595	0.187898226693639	0.129439280688336	-0.00762287645495658	0.0335107325926238	3.54004865160703	0.0258878561376672	0	0.0811594779328764	0.0811594779328764	1
8656	ENSRNOG00000003403	2.48205024042653	0.115152059173575	0.187943375858373	0.0500655420829248	0.00879446209700542	0.00121864631957954	6.78274202475015	0.010013108416585	0.00879446209700542	0.0256063260616507	0.0256063260616507	1
8657	ENSRNOG00000033176	2.48212954127207	0.115146254201172	0.187943375858373	0.0772126744439749	0.00511090961380205	0.0103316252749929	4.53310552583769	0.015442534888795	0.00511090961380205	0.0446413303253383	0.0446413303253383	1
8658	ENSRNOG00000018845	2.48228307038878	0.11513501649612	0.187943375858373	0.0566961784844714	-0.00068989196871372	0.012029127665608	4.4708303982551	0.0113392356968941	0	0.0464754549902582	0.0464754549902582	1
8659	ENSRNOG00000012564	2.48141282895706	0.115198730633769	0.187976127319375	0.0419063158872768	8.13505289141755e-05	0.00829991264854119	4.46515909877593	0.00838126317745542	8.13505289141755e-05	0.0466474758315713	0.0466474758315713	1
8660	ENSRNOG00000022863	2.48144184011339	0.115196605974831	0.187976127319375	3.9432222803026	0.564949489648314	0.223694966412206	2.49362610672887	0.78864445606052	0.564949489648314	0.164721587564331	0.564949489648314	1
8661	ENSRNOG00000027295	2.48052316273391	0.115263907164599	0.188039494283506	0.154672966761152	0.0247919599632976	0.0061426333889328	5.74421980779075	0.0309345933522302	0.0247919599632976	0.0247768968502326	0.0247919599632976	1
8662	ENSRNOG00000034269	2.48051946680156	0.115264178011728	0.188039494283506	0.158977369906818	-0.0152081769510018	0.0470036509323654	3.06325624088057	0.0317954739813637	0	0.108556712718044	0.108556712718044	1
